"Gene_ID","GO_Term","Definition","Accession","Evidence_Code","Domain","Temp"
"TraesCS2A02G146000","response to heat","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.","GO:0009408","IEA","biological_process",TRUE
"TraesCS2B02G171400","response to heat","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.","GO:0009408","IEA","biological_process",TRUE
"TraesCS2D02G150600","response to heat","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.","GO:0009408","IEA","biological_process",TRUE
"TraesCS4A02G409100","protein refolding","The process carried out by a cell that restores the biological activity of an unfolded or misfolded protein, using helper proteins such as chaperones.","GO:0042026","IEA","biological_process",TRUE
"TraesCS4B02G307700","protein refolding","The process carried out by a cell that restores the biological activity of an unfolded or misfolded protein, using helper proteins such as chaperones.","GO:0042026","IEA","biological_process",TRUE
"TraesCS6A02G037900","response to cold","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism.","GO:0009409","IEA","biological_process",TRUE
"TraesCS6A02G316200","response to heat","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.","GO:0009408","IEA","biological_process",TRUE
"TraesCS6B02G052900","response to cold","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism.","GO:0009409","IEA","biological_process",TRUE
"TraesCS7B02G078200","response to cold","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism.","GO:0009409","IEA","biological_process",TRUE
